Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,02-May-2024,30-May-2024,CE,21750.00,-,-,-,900.00,900.00,1069.55,-,-,-,8100.00,-,22648.20
NIFTY,02-May-2024,30-May-2024,CE,21800.00,995.65,1065.00,988.20,1032.10,1034.75,1032.10,405.00,2311.35,104.10,257850.00,-700.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,21850.00,-,-,-,957.05,957.70,984.05,-,-,-,13225.00,-,22648.20
NIFTY,02-May-2024,30-May-2024,CE,21900.00,906.55,974.20,897.00,950.10,946.80,950.10,198.00,1130.61,46.56,198025.00,-2250.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,21950.00,871.75,920.00,852.15,905.60,907.15,905.60,404.00,2304.99,88.04,10400.00,2100.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22000.00,821.50,889.00,810.00,856.50,863.35,856.50,10065.00,57504.76,2147.26,1041525.00,42375.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22050.00,788.10,830.05,771.70,823.30,823.15,823.30,47.00,268.58,9.49,27825.00,-425.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22100.00,750.00,804.25,735.80,773.20,773.65,773.20,1623.00,9278.75,311.67,208625.00,5625.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22150.00,705.60,761.00,690.60,733.60,735.20,733.60,101.00,577.54,18.25,17150.00,-325.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22200.00,659.05,719.50,646.35,688.95,695.80,688.95,2910.00,16651.34,500.84,503950.00,6475.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22250.00,629.80,683.20,620.00,654.10,654.40,654.10,321.00,1838.64,53.08,17775.00,1475.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22300.00,579.95,645.55,568.00,613.70,615.00,613.70,2392.00,13702.08,366.68,338700.00,2025.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22350.00,551.65,607.40,540.00,574.80,578.00,574.80,835.00,4785.97,120.40,34550.00,1550.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22400.00,512.85,569.40,468.55,538.00,540.50,538.00,18023.00,103377.17,2448.37,344450.00,-163675.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22450.00,469.85,531.40,468.85,501.95,502.25,501.95,1479.00,8484.28,183.40,57900.00,-1600.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22500.00,435.95,497.85,423.35,467.50,470.00,467.50,51823.00,297531.42,6027.04,2058375.00,-189425.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22550.00,410.30,463.75,401.10,434.65,437.00,434.65,2484.00,14271.75,268.20,43650.00,-1000.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22600.00,379.65,431.05,351.95,401.00,404.70,401.00,52459.00,301642.80,5249.45,1270500.00,25225.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22650.00,350.45,398.55,342.50,369.20,370.50,369.20,12113.00,69710.10,1120.23,87300.00,21350.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22700.00,337.00,368.00,300.00,338.55,341.95,338.55,92807.00,534617.47,7937.74,1269325.00,244900.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22750.00,289.05,337.00,282.85,309.20,312.25,309.20,13866.00,79950.46,1087.59,146925.00,45900.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22800.00,268.90,308.10,235.15,279.95,281.00,279.95,97681.00,563750.30,6968.60,1069525.00,105700.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22850.00,246.25,280.60,238.55,253.05,254.75,253.05,9551.00,55172.48,612.40,81000.00,23150.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22900.00,200.05,253.60,200.05,227.65,229.85,227.65,28451.00,164530.40,1648.42,436975.00,68175.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,22950.00,197.85,228.45,187.30,205.20,204.85,205.20,5117.00,29624.59,265.80,69075.00,9200.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23000.00,172.05,204.50,160.00,182.25,183.00,182.25,100163.00,580605.94,4668.69,2304025.00,-24775.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23050.00,158.80,183.65,151.25,162.80,163.20,162.80,5898.00,34233.54,246.32,75200.00,7325.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23100.00,133.45,163.50,130.65,143.80,146.80,143.80,19534.00,113529.31,720.46,617650.00,43725.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23150.00,117.65,144.90,117.60,126.65,127.00,126.65,3549.00,20654.79,114.96,77575.00,7075.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23200.00,101.65,127.65,97.25,110.00,111.00,110.00,32573.00,189857.29,933.89,920950.00,71825.00,22648.20
NIFTY,02-May-2024,30-May-2024,CE,23250.00,98.00,111.60,91.80,95.80,96.00,95.80,5357.00,31271.53,133.96,120425.00,22150.00,22648.20
